DATE,START TIME,END TIME,USAGE
4/1/20,0:00,0:59,0.69
4/1/20,1:00,1:59,0.7
4/1/20,2:00,2:59,0.69
4/1/20,3:00,3:59,0.54
4/1/20,4:00,4:59,0.9
4/1/20,5:00,5:59,0.76
4/1/20,6:00,6:59,1.18
4/1/20,7:00,7:59,1.74
4/1/20,8:00,8:59,1.22
4/1/20,9:00,9:59,2.26
4/1/20,10:00,10:59,3.38
4/1/20,11:00,11:59,2.57
4/1/20,12:00,12:59,4.25
4/1/20,13:00,13:59,0.92
4/1/20,14:00,14:59,0.81
4/1/20,15:00,15:59,0.93
4/1/20,16:00,16:59,1.95
4/1/20,17:00,17:59,2.03
4/1/20,18:00,18:59,2.07
4/1/20,19:00,19:59,2.4
4/1/20,20:00,20:59,1.65
4/1/20,21:00,21:59,1.8
4/1/20,22:00,22:59,1.96
4/1/20,23:00,23:59,0.71
4/2/20,0:00,0:59,0.67
4/2/20,1:00,1:59,0.69
4/2/20,2:00,2:59,0.68
4/2/20,3:00,3:59,0.37
4/2/20,4:00,4:59,0.55
4/2/20,5:00,5:59,0.66
4/2/20,6:00,6:59,0.78
4/2/20,7:00,7:59,1.13
4/2/20,8:00,8:59,1.7
4/2/20,9:00,9:59,1.03
4/2/20,10:00,10:59,0.55
4/2/20,11:00,11:59,2.32
4/2/20,12:00,12:59,1.72
4/2/20,13:00,13:59,2.85
4/2/20,14:00,14:59,2.2
4/2/20,15:00,15:59,1.15
4/2/20,16:00,16:59,1.05
4/2/20,17:00,17:59,1.78
4/2/20,18:00,18:59,1.81
4/2/20,19:00,19:59,1.12
4/2/20,20:00,20:59,1.85
4/2/20,21:00,21:59,0.63
4/2/20,22:00,22:59,0.52
4/2/20,23:00,23:59,0.43